Address,TotalPrice,City,Cust First Name,Cust Full Name,Cust Last Name,CustNum (Orders),Cust Num,Date of Purchase,Number of Records,Order Num,Phone,Price,Product Category,Product Name,Quantity,SKU (Products),SKU,State,ZIP Code
22 Superior Way,901.17,Boston,Graham,Graham Frederick,Frederick,77,77,01-01-2017,1,1,(707) 474-5854,901.17,Solar panels,K-Eco 625,1,KE625,KE625,Massachusetts,02203
68316 Emmet Trail,49510,San Diego,Jael,Jael Rice,Rice,42,42,01-01-2017,1,2,(394) 444-6027,4951,Grid Tie Inverters,K-Invert 9K,10,KI9K,KI9K,California,92153
99 Sage Street,4018,Reno,Nolan,Nolan Slater,Slater,5,5,05-01-2017,1,3,(540) 487-5928,2009,Grid Tie Inverters,K-Invert 7K,2,KI7K,KI7K,Nevada,89505
561 Basil Court,6508,Greensboro,Blaine,Blaine Ashley,Ashley,49,49,15-01-2017,1,4,(261) 759-5806,813.5,Batteries,K-Eco 12-volt Lithium-ion solar backup battery,8,KE12Li,KE12Li,North Carolina,27404
75 Erie Terrace,65549,Dayton,Medge,Medge Ratliff,Ratliff,7,7,17-01-2017,1,5,(358) 751-8227,5959,Grid Tie Inverters,K-Invert 13K,11,KI13K,KI13K,Ohio,45454
556 Lakewood Park,332.35,Bismarck,Cally,Cally Reynolds,Reynolds,1,1,18-01-2017,1,6,(901) 166-8355,19.55,Solar panels,K-Eco Mini,17,KE5,KE5,North Dakota,58505
602 Sommers Parkway,21.77,Norfolk,Brock,Brock Case,Case,94,94,19-01-2017,1,7,(544) 534-1984,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),7,KEAAA12,KEAAA12,Virginia,23520
400 Summit Lane,14.7,Brooklyn,Theodore,Theodore Brock,Brock,95,95,20-01-2017,1,8,(662) 476-0315,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,10,KE9W,KE9W,New York,11210
9776 Beilfuss Parkway,1.75,Cleveland,Karly,Karly Hardin,Hardin,64,64,21-01-2017,1,9,(106) 281-7513,1.75,Lightbulbs,K-Eco Energy Bulbs 13W,1,KE13W,KE13W,Ohio,44118
55617 Straubel Drive,15.18,Philadelphia,Eagan,Eagan Bray,Bray,97,97,21-01-2017,1,10,(529) 738-3373,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,11,KE23W,KE23W,Pennsylvania,19146
874 Leroy Hill,8261,Santa Rosa,Oleg,Oleg Merritt,Merritt,51,51,22-01-2017,1,11,(513) 912-4721,751,Batteries,K-Eco 36-volt Lithium-ion solar backup battery,11,KE36Li,KE36Li,California,95405
605 Bunting Road,11.58,White Plains,Roth,Roth Black,Black,45,45,24-01-2017,1,12,(330) 983-4433,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),3,KEAA06,KEAA06,New York,10606
7189 Pankratz Point,36,Dayton,Jaime,Jaime Craig,Craig,66,66,04-02-2017,1,13,(375) 915-2089,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),12,KE13W08,KE13W08,Ohio,45454
33837 Independence Place,540.1,Oklahoma City,Jenna,Jenna Hendricks,Hendricks,84,84,06-02-2017,1,14,(840) 746-9696,108.02,Wind harvester,K-Eco Blast 100,5,KEBL100,KEBL100,Oklahoma,73124
58 Melvin Pass,8.2,Huntsville,Josiah,Josiah Wagner,Wagner,62,62,06-02-2017,1,15,(700) 742-7671,4.1,Lightbulbs,K-Eco Energy Bulbs 9W (4-pack),2,KE9W04,KE9W04,Alabama,35815
5 Melvin Street,118.88,New York City,Nasim,Nasim Sheppard,Sheppard,80,80,08-02-2017,1,16,(930) 295-6752,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),16,KE20W08,KE20W08,New York,10039
